Type	CN City Development	CN Economics	CN FTZ	CN FTZ-Fujian	CN FTZ-Guangdong	CN FTZ-Hainan	CN FTZ-Shanghai	CN FTZ-Tianjin	CN Finance	CN Industrial Development	CN MediaW	CN Rural Development	CN-EURO BIT	CN-JP Relations	CN-JP-KOR FTA	CPTPP	Cross-Strait Relations	Customs Document	Exhibition	FTA	Greater Bay Area	Household	Indo-Pacific Framework	Informative	Northeast CN Affairs	PRC-Think	PRC-WReport	Scrap	Sports	TPP	TW Diplomacy	All
FTA	2	1	3	44	3	19	13	1	2	7	1	1	3	7	4	5	1	2	1	10	3	2	10	2	1	1	3	2	4	1	2	161
All	2	1	3	44	3	19	13	1	2	7	1	1	3	7	4	5	1	2	1	10	3	2	10	2	1	1	3	2	4	1	2	161
